Alloy,Workfunction
Ag,4.68172604373298
Ag2Au2,5.02487187079787
Ag2Cd2,4.41819796539895
Ag2Hf2,4.30467592545064
Ag2Hg2,4.47573721475059
Ag2Ir2,5.15849431166805
Ag2Os2,4.99642718641182
Ag2Pt2,5.26108720639912
Ag2Re2,5.24041135372826
Ag2Ta2,4.75370121454897
Ag2W2,5.10299517103485
Ag2Y2,3.58260887722371
Au,5.42672180519814
Au2Hg2,4.84005998053095
Cd,4.17042789538443
Cd2Au2,4.63406041711315
Cd2Hf2,4.3153763147004
Cd2Hg2,4.17951153686134
Cd2Ir2,4.7986362576762
Cd2Os2,4.69599092263141
Cd2Pt2,4.92306113363625
Cd2Re2,4.79219167681409
Cd2Ta2,4.61200048111826
Cd2W2,4.79662431210447
Cd2Y2,3.83118751138159
Co,5.16920632873917
Co2Ag2,4.83146737480971
Co2Au2,5.13113218863563
Co2Cd2,4.53904836316378
Co2Cu2,5.04689439948633
Co2Fe2,4.97705042151327
Co2Hf2,4.32765340440029
Co2Hg2,4.67628405250939
Co2Ir2,5.3988718092162
Co2La2,3.37367654931222
Co2Mn2,4.80231355197654
Co2Ni2,5.18694846282232
Co2Os2,5.4113133575944
Co2Pd2,5.06676830562401
Co2Pt2,5.30961556228522
Co2Re2,5.40441458399427
Co2Rh2,5.13652100454827
Co2Ru2,5.20857961649472
Co2Sc2,4.16414879025344
Co2Ti2,4.47156860088974
Co2V2,4.92365714204392
Co2W2,5.26255611167539
Co2Y2,3.82358811330256
Co2Zn2,4.84532990418859
Co2Zr2,4.20043589782873
Cr,5.10550907881884
Cr2Ag2,4.747445271923
Cr2Au2,5.05861479844695
Cr2Cd2,4.51994741691768
Cr2Cu2,5.09830099869606
Cr2Fe2,5.07675453636417
Cr2Hf2,4.60687583887022
Cr2Hg2,4.56284201785904
Cr2Ir2,5.27810328964366
Cr2La2,3.48510893973629
Cr2Mn2,5.01657991097411
Cr2Mo2,4.96567052402399
Cr2Nb2,4.74815971428093
Cr2Ni2,5.18776559443048
Cr2Os2,5.22438674176857
Cr2Pd2,5.10336509893106
Cr2Pt2,5.29029566695605
Cr2Re2,5.19098769225684
Cr2Rh2,5.11162268403373
Cr2Ru2,5.06608682513756
Cr2Ta2,4.88261939826887
Cr2Tc2,5.05059954321038
Cr2W2,5.03643511390332
Cr2Y2,3.57085444497562
Cr2Zn2,4.83363874292289
Cr2Zr2,4.47518071580417
Cu,4.9485901283999
Cu2Ag2,4.78821048993569
Cu2Au2,5.13527477187297
Cu2Cd2,4.5323638161156
Cu2Hf2,4.2618873806274
Cu2Hg2,4.66338557322829
Cu2Ir2,5.38660867252732
Cu2La2,3.25537111872114
Cu2Mo2,5.02866095145395
Cu2Nb2,4.66711186555757
Cu2Os2,5.28823820448379
Cu2Pd2,5.1770453308997
Cu2Pt2,5.46553615303244
Cu2Re2,5.35196750851939
Cu2Rh2,5.2070463509569
Cu2Ru2,5.18604032791012
Cu2Ta2,4.77347788115691
Cu2Tc2,5.21358384955499
Cu2W2,5.14630701324226
Cu2Y2,3.55531509908957
Cu2Zn2,4.81428381552515
Cu2Zr2,4.07493982437035
Fe2Ag2,4.67369875004317
Fe2Au2,4.95549191296695
Fe2Cd2,4.52989278631158
Fe2Cu2,4.90424062976214
Fe2Hf2,4.48424471132341
Fe2Hg2,4.62582857004513
Fe2Ir2,5.27107358054392
Fe2La2,3.35182057342533
Fe2Ni2,5.03547588621725
Fe2Os2,5.30313080102462
Fe2Pd2,4.89217123491904
Fe2Pt2,5.14787591353499
Fe2Rh2,4.97067120963656
Fe2Ru2,5.07109405249514
Fe2Ta2,4.75025755192807
Fe2Tc2,5.1367273260682
Fe2Y2,3.77106279202058
Fe2Zn2,4.78936280542792
Fe2Zr2,4.32337204493447
Hf,4.52352155793632
Hf2Au2,4.41548660940499
Hf2Hg2,4.36553599742118
Hf2Ir2,4.43199636063354
Hf2Os2,4.75292044833226
Hf2Pt2,4.24729571606217
Hf2Re2,4.76222554085227
Hf2Ta2,4.66843084997987
Hf2W2,4.61339562381821
Hf2Y2,3.99399843454437
Hg,4.49314776752397
Ir,5.63709040689221
Ir2Au2,5.5829558328985
Ir2Hg2,5.03782840137455
Ir2Pt2,5.7782120202231
La,3.34990135993441
La2Ag2,3.28923317706374
La2Au2,3.30631004895935
La2Cd2,3.4143273822836
La2Hf2,3.70860233290968
La2Hg2,3.39055475886536
La2Ir2,3.68757786501858
La2Mo2,3.5089794433838
La2Nb2,3.6551094244139
La2Os2,3.7746447359661
La2Pd2,3.26725389328577
La2Pt2,3.26623091354357
La2Re2,3.65393870258793
La2Rh2,3.50263266774118
La2Ru2,3.55025367033934
La2Ta2,3.73404595207813
La2Tc2,3.54219667737171
La2W2,3.63373693491097
La2Y2,3.4323335485659
La2Zr2,3.66766340982145
Mn2Ag2,4.30370668315683
Mn2Au2,4.51394776771484
Mn2Cd2,4.37586090299791
Mn2Cu2,4.47971162564343
Mn2Hg2,4.40381746465157
Mn2Ir2,5.02865270126093
Mn2La2,3.36511003510511
Mn2Mo2,4.87871489660136
Mn2Nb2,4.63305082125915
Mn2Ni2,4.72439956708751
Mn2Pd2,4.61577739902586
Mn2Pt2,4.88988264547581
Mn2Rh2,4.78658144612265
Mn2Ru2,4.85677157118994
Mn2Ta2,4.8349192351895
Mn2W2,4.99234547521662
Mn2Y2,3.70769466541274
Mn2Zn2,4.60182171819298
Mn2Zr2,4.31947069401128
Mo,4.97616661711421
Mo2Ag2,5.03021585301831
Mo2Au2,5.19492144838893
Mo2Cd2,4.69044062201975
Mo2Hf2,4.63615453468208
Mo2Hg2,4.77549255644603
Mo2Ir2,5.22680098916265
Mo2Os2,5.1141944886015
Mo2Pd2,5.11833126480885
Mo2Pt2,5.2633922833473
Mo2Re2,5.10345444568837
Mo2Rh2,5.10442526541975
Mo2Ru2,5.01251551940768
Mo2Ta2,4.85736875786476
Mo2Tc2,5.0073682235491
Mo2W2,5.04394614184951
Mo2Y2,3.89845818561098
Nb,4.6764920820927
Nb2Ag2,4.67078199770956
Nb2Au2,4.7632883037549
Nb2Cd2,4.51130277485904
Nb2Hf2,4.5451666667565
Nb2Hg2,4.62488340167004
Nb2Ir2,4.86607639598
Nb2Mo2,4.7872318652459
Nb2Os2,4.78614164458695
Nb2Pd2,4.74506441707559
Nb2Pt2,4.88301328570556
Nb2Re2,4.88510759352997
Nb2Rh2,4.77820428294383
Nb2Ru2,4.706348985848
Nb2Ta2,4.80774204342347
Nb2Tc2,4.80440363679978
Nb2W2,4.88733230132702
Nb2Y2,3.99303067031127
Ni2Ag2,4.94744796700317
Ni2Au2,5.28011298567666
Ni2Cd2,4.65090606920174
Ni2Cu2,5.15736047590275
Ni2Hf2,4.17587714208236
Ni2Hg2,4.82951831180423
Ni2Ir2,5.50611691306245
Ni2La2,3.23674460852629
Ni2Mo2,5.11699727334163
Ni2Nb2,4.76231644189467
Ni2Os2,5.42980181493123
Ni2Pd2,5.22717010493535
Ni2Pt2,5.52065330253843
Ni2Re2,5.39760670276189
Ni2Rh2,5.25858304897083
Ni2Ru2,5.25005014768353
Ni2Ta2,4.90422583515311
Ni2W2,5.23822236055729
Ni2Y2,3.60756901731076
Ni2Zn2,4.95454475108625
Ni2Zr2,4.04430826253822
Os,5.50437605852076
Os2Au2,5.23521314810145
Os2Hg2,4.88160174078333
Os2Ir2,5.50190083788671
Os2Pt2,5.57617731340797
Pd,5.3718513195279
Pd2Ag2,5.03455996086098
Pd2Au2,5.49402365983808
Pd2Cd2,4.64351233583115
Pd2Hf2,4.20534801695478
Pd2Hg2,4.82574158583678
Pd2Ir2,5.51734171960729
Pd2Os2,5.44687026953666
Pd2Pt2,5.66097790176226
Pd2Re2,5.41318345412131
Pd2Ta2,4.87403215256874
Pd2W2,5.23555634318145
Pd2Y2,3.5892946597752
Pt,5.94680668757898
Pt2Au2,5.72987097431509
Pt2Hg2,5.13700194416463
Re,5.34266568816285
Re2Au2,5.41222641504654
Re2Hg2,4.89374827378075
Re2Ir2,5.54370530771041
Re2Os2,5.42988717273404
Re2Pt2,5.51573781896608
Rh,5.28772387843182
Rh2Ag2,5.07007119191537
Rh2Au2,5.48930223032273
Rh2Cd2,4.80168290776063
Rh2Hf2,4.34835623641265
Rh2Ir2,5.47377726556026
Rh2Pd2,5.32077179497929
Rh2Pt2,5.60615072993637
Rh2Re2,5.42801196041233
Rh2Ta2,4.88826728819628
Rh2W2,5.25042533078571
Ru,5.21009499235344
Ru2Ag2,5.01845225121568
Ru2Au2,5.25966325111614
Ru2Cd2,4.59577619888906
Ru2Hf2,4.60260840883107
Ru2Hg2,4.77269719006432
Ru2Ir2,5.37178627501375
Ru2Os2,5.37875156659508
Ru2Pd2,5.27316163296946
Ru2Pt2,5.45899908254359
Ru2Re2,5.31054948559057
Ru2Rh2,5.22958436285879
Ru2Ta2,4.82417314891495
Ru2W2,5.11469558317313
Ru2Y2,4.04042379985502
Sc,3.86053211023217
Sc2Ag2,3.82080226487984
Sc2Au2,3.87028259470928
Sc2Cd2,4.03832053679908
Sc2Cr2,4.08357687218689
Sc2Cu2,3.82238404388189
Sc2Hf2,4.20848653340595
Sc2Ir2,4.49593483815206
Sc2La2,3.44204336692479
Sc2Mo2,4.27674909947015
Sc2Nb2,4.26969387390109
Sc2Os2,4.56146550114834
Sc2Pd2,3.89911721244873
Sc2Pt2,4.02745025154534
Sc2Re2,4.29163969287271
Sc2Rh2,4.28400474840593
Sc2Ru2,4.36069567619848
Sc2Ta2,4.36618035209998
Sc2Tc2,4.36647119293114
Sc2Ti2,4.134532901708
Sc2V2,4.15701767654559
Sc2W2,4.42218151725023
Sc2Y2,3.67341614925865
Sc2Zn2,4.05912502994635
Sc2Zr2,4.13599683407869
Ta,4.87134070740453
Ta2Au2,4.86983406839007
Ta2Hg2,4.73595145167052
Ta2Ir2,4.98222648750537
Ta2Os2,4.90395067168923
Ta2Pt2,5.01403384760958
Ta2Re2,5.01200571185672
Ta2W2,5.01095521170114
Tc,5.11420106821472
Tc2Ag2,5.12010007355591
Tc2Au2,5.29957651997528
Tc2Cd2,4.64052348012208
Tc2Hf2,4.64443298726402
Tc2Hg2,4.77366463667597
Tc2Ir2,5.37993071802243
Tc2Os2,5.28587920183987
Tc2Pd2,5.26597387493558
Tc2Pt2,5.38261086558962
Tc2Re2,5.20668562286215
Tc2Rh2,5.25551699401914
Tc2Ru2,5.16867517499172
Tc2Ta2,4.89315902221244
Tc2W2,5.06397364816138
Tc2Y2,4.03507505897613
Ti,4.58624223545646
Ti2Ag2,4.34025656358754
Ti2Au2,4.49896627253358
Ti2Cd2,4.33171110088437
Ti2Cr2,4.7302015411571
Ti2Cu2,4.40583727584582
Ti2Hf2,4.52593697343
Ti2Hg2,4.41191531455387
Ti2Ir2,4.66077987056642
Ti2La2,3.50314719578322
Ti2Mo2,4.66917390079183
Ti2Nb2,4.62087593526543
Ti2Os2,4.90362190750976
Ti2Pd2,4.42243823996977
Ti2Pt2,4.56758825035214
Ti2Re2,4.87939397858107
Ti2Rh2,4.52411338767864
Ti2Ru2,4.73749170018384
Ti2Ta2,4.73385087543553
Ti2Tc2,4.73417449315048
Ti2V2,4.6113075161101
Ti2W2,4.79242666087206
Ti2Y2,3.87523826873464
Ti2Zn2,4.42373477967624
Ti2Zr2,4.41946332422609
V,4.84554900472524
V2Ag2,4.76030759362066
V2Au2,4.90809607120404
V2Cd2,4.54319632932926
V2Cr2,4.96080554129918
V2Cu2,4.82894752370852
V2Hf2,4.58691268925659
V2Hg2,4.50678715383628
V2Ir2,5.03746642224495
V2La2,3.52691056010442
V2Mo2,4.91183911921352
V2Nb2,4.71704127557998
V2Os2,5.07274037248594
V2Pd2,4.87068258941023
V2Pt2,5.04918737795126
V2Re2,5.05828872521454
V2Rh2,4.89610180012814
V2Ru2,4.91350315801145
V2Ta2,4.88012740667156
V2Tc2,4.93958083671189
V2W2,5.04256162743144
V2Y2,3.57104470227446
V2Zn2,4.69905558554254
V2Zr2,4.436701848913
W,5.1519404271113
W2Au2,5.26169129483757
W2Hg2,4.89947260792389
W2Ir2,5.36689379656738
W2Os2,5.23311656882565
W2Pt2,5.3860470929823
W2Re2,5.21385063374907
Y,3.5945011675627
Y2Au2,3.61974029771614
Y2Hg2,3.83256812964601
Y2Ir2,4.12236970160808
Y2Os2,4.22324079642303
Y2Pt2,3.67311199096851
Y2Re2,3.80976429327901
Y2Ta2,4.10734580845766
Y2W2,4.05357739091786
Zn,4.49406975497667
Zn2Ag2,4.61697177881437
Zn2Au2,4.87887892624459
Zn2Cd2,4.27702351733716
Zn2Hf2,4.39559395793909
Zn2Hg2,4.29038399954255
Zn2Ir2,5.20895839751137
Zn2La2,3.33996694341885
Zn2Mo2,4.86592112211292
Zn2Nb2,4.60408626393289
Zn2Os2,4.95255012310512
Zn2Pd2,4.85696857526608
Zn2Pt2,5.20048990462826
Zn2Re2,5.07277953271848
Zn2Rh2,4.99129025547078
Zn2Ru2,4.96017235855207
Zn2Ta2,4.7505724434474
Zn2Tc2,4.87624917701917
Zn2W2,4.99813618467141
Zn2Y2,3.77672415849297
Zn2Zr2,4.26089575135885
Zr,4.3954083274079
Zr2Ag2,4.20701559109584
Zr2Au2,4.28767242435568
Zr2Cd2,4.20855244852424
Zr2Hf2,4.48478002815953
Zr2Hg2,4.25874931838514
Zr2Ir2,4.3083845619471
Zr2Mo2,4.52765947361696
Zr2Nb2,4.43514456126487
Zr2Os2,4.63629777316066
Zr2Pd2,4.12463298193154
Zr2Pt2,4.11160505495673
Zr2Re2,4.63841209913819
Zr2Rh2,4.24402005018772
Zr2Ru2,4.50221023540003
Zr2Ta2,4.54593754636583
Zr2Tc2,4.52765471559742
Zr2W2,4.51582969284792
Zr2Y2,3.94835229507882
