LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE
2.015093907391619921e-02,6.922962136833660240e-02,3.376046309720900224e-02,6.473307661722380035e-02,3.915241677884639948e-02,4.341981372941180334e-02,1.908074672563077889e-01,9.650836229782000161e-03,5.181152334045605601e-01
3.451463811311369922e-02,8.551207872833729851e-02,5.306020869362110259e-02,8.809035360546220439e-02,2.455978944689009985e-02,4.886000117363550194e-02,1.956756074563870129e-01,1.669048070859339983e-02,5.615253371693829099e-01
2.570135686723179838e-02,8.714370456776220075e-02,5.350192837759509823e-02,6.571538426285229717e-02,2.938387037939620139e-02,5.331959122643149807e-02,1.851867806128809080e-01,1.173155493911159919e-02,5.915536808986450179e-01
3.502715925882270154e-02,9.811108267355149459e-02,5.623963849621999717e-02,7.556105958162440128e-02,2.725386465602940012e-02,5.855329092506519895e-02,2.139736704178002991e-01,1.078385323507479940e-02,5.331121900516387901e-01
1.978425886643080112e-02,7.517256175616010561e-02,4.445042371638430190e-02,6.143646701088140150e-02,2.678709417670219889e-02,4.430796351938869754e-02,2.176883023588802868e-01,1.171853174993179973e-02,5.876358432625490291e-01
2.195848863679730062e-02,6.503179655721029462e-02,3.516591586761100285e-02,6.384438577170420404e-02,4.041617964156769827e-02,4.650493797538179930e-02,1.863649631911482030e-01,1.172767796391380006e-02,5.286966544179373395e-01
3.712631385077849733e-02,8.931622190329860378e-02,5.642089920340259690e-02,8.014283000490990405e-02,3.836811376648729954e-02,4.175305090497950095e-02,2.041477818919568976e-01,1.358906481835200040e-02,5.873325860325764314e-01
2.894878369038140012e-02,9.943229495420490005e-02,4.872420703527029912e-02,9.019524721766909725e-02,2.455066485419480152e-02,5.108175136154519819e-02,2.077536105957963064e-01,1.908146524225470125e-02,5.492508822045333305e-01
3.580643017654999705e-02,1.004474200602317041e-01,6.601018472988789965e-02,7.852611295348320419e-02,2.987161613181240141e-02,5.070345296735719737e-02,2.278834794635705985e-01,1.174111638394020017e-02,5.782599678989407410e-01
1.613131010448439970e-02,7.492178280589080475e-02,3.629023236544529768e-02,5.827445944248880322e-02,2.233317467568229908e-02,4.192130271615630149e-02,2.229586004516649067e-01,1.262128208665579988e-02,5.558636547771356184e-01
2.768896736528310074e-02,9.377878935221789503e-02,4.135177840468440280e-02,6.346991210822240659e-02,2.170418682677760155e-02,5.863068223468349827e-02,2.406859205175367888e-01,1.206813898384079958e-02,5.507975689478470382e-01
3.298539608926680244e-02,8.154284811625479856e-02,5.990019504858939969e-02,6.584527956971560070e-02,2.561663506425910022e-02,5.840994586244899894e-02,2.816337744760676887e-01,1.105301686502089924e-02,5.803036852017520175e-01
2.750353243778750137e-02,7.406948621575980274e-02,5.345086865905269990e-02,7.427287607859349439e-02,2.892201755530419971e-02,4.840649972922070332e-02,1.750824987932552979e-01,1.548808391021730055e-02,5.805227644753852001e-01
3.263189713219710048e-02,7.701279913610520333e-02,4.044853728529260173e-02,7.832823252015740090e-02,3.931276545300770031e-02,4.249670177823380163e-02,1.830758449260866116e-01,1.274411530388300066e-02,6.386908894124317948e-01
3.376574778396500276e-02,9.248745066697740269e-02,5.658254312234980293e-02,8.269478716913949978e-02,3.482348074874239835e-02,5.829463057003290288e-02,1.934112495939576959e-01,1.151406972418790066e-02,5.919132936896989161e-01
1.779143345642089993e-02,1.041466434797462953e-01,4.237940080616710292e-02,6.621255954515649356e-02,2.477178547320890017e-02,5.026368884535500209e-02,2.042429701246391005e-01,1.491966340785729969e-02,5.651163775851697491e-01
1.830106146246290172e-02,8.766926683177929391e-02,6.247012349890029848e-02,9.166983887497000272e-02,1.958812801297719897e-02,5.529768233728440258e-02,1.783204261071812957e-01,1.201364406176370046e-02,5.235798447806613298e-01
2.896353782994899942e-02,9.236060296831709315e-02,4.472156619953999990e-02,6.567071562215540115e-02,4.304198433564779963e-02,4.499476179817690075e-02,1.579052964036506135e-01,1.093714829480199949e-02,5.384179225242690103e-01
3.450858861325709764e-02,8.756236210889699334e-02,5.573722251297170277e-02,5.183207471501120184e-02,3.559973129721590024e-02,4.851234744451329850e-02,2.217562779190276889e-01,1.544097914815529930e-02,5.491134078627357695e-01
3.286024628638820055e-02,7.697590530608659776e-02,5.607374472286980049e-02,7.131740074193239354e-02,2.240985939412220088e-02,5.081515292597209993e-02,2.098097122604062059e-01,1.333435933148889932e-02,5.419992937149152867e-01
3.355563297588470134e-02,8.517607509511990194e-02,4.792482182963520021e-02,8.518166030299789693e-02,3.657831246564999944e-02,5.890853903233329858e-02,2.078710821717532076e-01,1.533574224003820055e-02,5.217945491717055351e-01
3.105832625105829983e-02,9.020444177068580316e-02,4.753584982054760016e-02,5.986320940341249841e-02,2.235877322456599967e-02,4.375096979725290325e-02,2.081562724501385964e-01,1.277558442183929915e-02,6.050622951676433159e-01
3.477547279876200270e-02,9.071736510753590499e-02,4.480291056704820141e-02,6.660932618964250651e-02,3.067189696587799969e-02,3.972069175248180151e-02,1.594031551082029097e-01,7.688196271040600126e-03,5.703985055966306339e-01
3.654692202249090055e-02,8.911778765824679427e-02,4.905981238440559888e-02,6.113330817186880123e-02,3.790836633552570334e-02,3.750366617612439779e-02,1.867138890820415897e-01,1.228950474683110014e-02,5.940438173208347772e-01
2.912538586814610031e-02,8.094811165605539371e-02,3.941875295421379960e-02,6.492193628738239519e-02,2.052288076208819839e-02,4.615505543822170237e-02,2.110860492758132034e-01,7.653020523154700078e-03,5.700062783385020371e-01
2.364195303167989856e-02,8.033511656130210010e-02,5.811614940840940241e-02,6.158325787085570241e-02,2.968942042341030096e-02,4.026460049506010164e-02,1.810085693705462961e-01,1.363013974579639978e-02,5.554449726417979294e-01
1.692108626229769930e-02,9.853212207366479625e-02,4.020286111294649883e-02,5.686638909242099776e-02,3.032992390346090153e-02,4.566327511286250029e-02,1.755368864261649953e-01,9.371714702068200190e-03,5.571750272910560575e-01
3.078503315821170053e-02,6.546407990273629685e-02,4.336971756826329960e-02,7.176951450398680321e-02,3.574397899581299720e-02,5.556080221072839942e-02,1.853472735903713975e-01,1.450473058721610080e-02,5.916956811411723249e-01
2.997803823234130097e-02,8.708874480306730281e-02,4.209872106779820322e-02,7.458719829641639876e-02,2.736315913166539882e-02,5.880588646951449838e-02,1.836531572911739019e-01,1.386453232023210011e-02,5.659072462685194038e-01
3.104145970063530019e-02,9.660124172626879946e-02,5.062391777128479736e-02,8.233477131412879346e-02,4.339286240891439966e-02,4.198548685126950175e-02,1.801493812265700933e-01,1.514274236907139914e-02,5.799228120839539091e-01
