SE,Adsorption Energy,SE,Adsorption Energy,SE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
266.3,0.338155323,297.5,0.051979866,510,-0.340017534
342.5,0.322403197,322.9,0.164787243,510,-0.247521278
106.3,0.825439234,313.1,0.171934721,510,-0.250679296
391.2,-0.448717897,365.1666667,-0.327433902,430.8,-0.226542254
359.5,-0.878578305,344.0333333,-0.632293103,409.6666667,-0.432063169
313.1,-0.053560439,313.1,-0.053560439,510,-0.309796707
655.5,-0.996874898,344.9,-0.406855632,410.5333333,0.079090568
586,-0.324119827,655.5,-0.900437073,655.5,-0.739253298
406.2,-0.687573846,313.1,0.151851087,510,-0.153773571
636,-0.989087,586,-0.381685238,586,-0.38702003
716.8,-0.943553103,375.1666667,-0.441825798,440.8,-0.207741637
661,-0.258513453,259.8333333,1.231930641,594,-0.470261149
396.7,-0.289728039,528.3666667,-0.637616739,647.8666667,-0.590736422
510,-0.312314032,582.2333333,-0.693316401,433.4666667,-0.284464542
738,-0.511985045,367.8333333,-0.337988381,661,-0.308441036
516.7,-0.284275014,661,-0.334694171,472.2333333,-0.306656241
605.7,-0.411165643,368.8333333,-0.22658484,510,-0.312314032
334,-1.003077461,510,-0.309796707,738,-0.407946808
771,-1.019672595,313.1,-0.635279145,514.4666667,-0.291889984
573,-0.559478978,448.8333333,-0.321869038,573.8,-0.262794756
443.7,-1.01043746,605.7,-0.277813263,392.6666667,-0.314158556
475.8,-0.99566059,334,-0.708506339,684,-0.640233657
835,-0.879511383,771,-0.754445142,552,-0.317942435
391.4,-0.970131958,573,-0.481917418,465.8,-0.467562597
126.35,0.552737221,400.1666667,-0.75827011,487.2,-0.52795078
601,-0.992339168,421.5666667,-0.659828031,835,-0.596738437
,,835,-0.746565813,391.4,-0.401255121
,,391.4,-0.704130749,510,-0.184417263
,,250.85,0.159172174,601,-0.621889647
,,505.0333333,-0.800465306,,