VE,Adsorption Energy,VE,Adsorption Energy,VE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,,Cu alloys,,Pt alloys
3,1.56027,5.74456,1.37786,6.32456,1.32255
4,1.28847,5.60408,2.17665,8.61774,1.48062
5,0.88328,6.50296,2.13029,7.88374,1.5097
6,0.97767,7.34342,1.85116,7.11379,1.61541
9,2.107,8.77496,2.50836,6.32456,1.66117
11,4.11007,8.89592,2.43874,9.3217,1.67874
12,4.4891,9.6226,2.41652,8.61774,1.70428
3,1.79652,10.3228,2.66921,7.88374,1.70646
4,1.26218,11,4.11007,7.11379,1.75912
5,0.72815,11,4.24378,7.11379,1.86795
6,1.08335,11,1.70534,9.3217,1.89351
7,1.3963,6.63325,0.68792,6.29961,1.94596
8,1.59931,6.50296,2.13057,6.29961,2.00082
9,1.92635,7.34342,1.89668,10,2.06321
10,2.50473,8.13822,1.88534,6.29961,2.11915
11,5.60898,8.89592,2.11521,10,2.22247
12,5.36371,9.6226,1.98752,10,2.3483
3,1.8399,10.48809,2.79632,10,2.48178
4,0.9504,11,4.13483,10.3228,2.49511
5,0.43942,11,3.62824,10,2.55148
6,0.56139,11,1.93691,10.3228,2.58267
7,1.38259,6.63325,0.58704,9.65489,2.58362
8,1.6771,6.50296,1.88647,10.3228,2.62394
9,1.88966,7.34342,1.65091,8.61774,2.68828
10,2.22247,8.13822,1.6172,10,2.73358
11,4.74142,8.89592,1.88456,7.36806,3.13551
,,9.6226,1.76342,10,3.26559
,,10.3228,2.58267,10.62659,3.69473
,,11,4.39366,7.88374,4.21143